 8 0            1 0            0 0            6 1            3 2            4 1            9 1            7 1            5 6            2 1            
 0 76           76 119         119 148        148 185        185 256        256 262        262 275        275 361        361 408        408 493        
 3 0            5 1            6 0            9 0            8 1            4 2            2 0            7 2            0 1            1 5            
 0 81           84 86          86 132         132 217        217 286        286 308        308 399        399 445        445 523        637 665        
 5 0            3 1            4 0            7 0            1 1            9 2            6 3            8 4            0 2            2 3            
 0 84           84 179         179 193        193 224        224 314        314 375        375 388        421 506        523 532        532 606        
 5 3            6 2            8 2            4 4            2 2            0 3            1 4            9 7            3 7            7 9            
 138 233        233 294        294 370        370 396        493 532        532 568        568 637        640 692        692 790        813 892        
 3 3            1 2            4 5            5 8            7 4            0 4            6 9            8 8            9 8            2 9            
 256 355        355 430        430 499        499 505        519 551        568 617        703 758        758 784        784 874        896 929        
 5 2            4 3            8 3            6 5            7 3            9 6            0 5            2 5            1 7            3 9            
 86 138         308 369        370 421        421 442        445 519        593 640        640 651        699 709        762 808        812 855        
 3 4            9 3            6 4            5 7            8 6            7 5            0 6            1 6            2 7            4 9            
 355 364        375 382        388 420        420 485        517 557        557 645        651 713        713 759        762 851        851 904        
 3 6            5 9            4 7            8 7            6 8            2 6            0 7            7 8            1 8            9 9            
 416 501        505 530        530 579        579 668        668 698        709 721        721 777        777 813        813 885        885 930        
 5 4            3 5            9 4            4 6            6 7            2 4            7 6            0 8            8 9            1 9            
 233 281        364 416        416 480        499 520        520 609        609 699        699 718        777 821        821 895        895 925        
 5 5            1 3            6 6            8 5            9 5            4 8            7 7            3 8            2 8            0 9            
 281 353        430 441        442 474        506 517        517 593        593 665        718 766        790 812        851 896        896 917        
*
