 1 0            0 1            7 1            8 3            4 0            3 1            5 3            9 4            6 4            2 4            
 0 21           21 74          74 134         134 178        178 261        261 316        369 461        461 557        557 650        650 662        
 0 0            8 1            5 0            3 0            7 2            6 2            9 3            4 3            1 4            2 2            
 0 21           21 70          70 124         124 201        201 242        290 377        377 452        452 471        471 542        546 588        
 7 0            5 1            8 4            1 3            9 2            4 2            6 3            3 3            0 4            2 3            
 0 38           124 167        178 276        276 302        302 345        345 409        409 496        496 562        562 596        596 627        
 8 0            2 0            1 1            6 0            9 1            7 3            4 1            0 3            5 4            3 4            
 0 17           17 56          56 108         108 177        177 256        256 280        280 314        314 369        461 523        562 639        
 9 0            8 2            0 2            1 2            6 1            5 2            3 2            2 1            4 4            7 4            
 0 77           77 102         102 197        197 213        213 290        290 369        369 448        448 546        546 583        583 666        
*
