 7 0            2 1            11 0           14 0           13 2           6 0            4 4            0 3            9 0            3 3            5 2            10 2           8 3            1 4            12 4           
 0 60           60 72          72 133         133 220        220 248        248 341        341 424        424 477        477 573        573 628        628 720        720 815        815 859        859 880        880 926        
 0 0            7 1            2 2            13 1           5 1            4 3            14 1           1 2            11 3           3 1            6 2            12 2           9 3            8 4            10 4           
 0 21           60 101         101 143        143 195        195 249        249 268        268 313        313 384        384 393        393 470        470 557        557 648        738 813        859 908        908 915        
 2 0            0 1            10 1           5 0            7 2            4 2            11 2           13 3           14 2           1 3            8 0            3 4            12 3           6 4            9 4            
 0 31           31 65          65 100         100 143        143 181        181 245        245 340        340 367        367 406        406 432        432 530        628 694        694 753        753 840        840 883        
 1 0            3 0            4 1            2 3            12 1           7 4            6 1            11 4           13 4           14 4           8 1            0 4            9 2            5 3            10 3           
 0 52           52 129         129 163        163 202        202 218        276 300        341 410        410 445        445 495        495 536        536 553        553 608        659 738        738 800        815 891        
 10 0           4 0            1 1            13 0           12 0           11 1           7 3            0 2            2 4            14 3           3 2            8 2            9 1            6 3            5 4            
 0 28           28 65          65 81          81 124         124 183        183 193        193 276        276 371        371 469        469 478        478 557        557 582        582 659        659 736        800 879        
*
