 2 0            1 0            4 0            15 1           0 2            14 1           8 2            3 3            13 3           11 2           17 1           16 3           5 2            9 0            6 0            10 0           18 1           7 4            12 3           19 4           
 0 12           12 33          33 116         116 136        136 189        189 276        276 320        320 375        375 403        403 464        464 497        497 575        575 667        667 763        763 856        856 951        951 1020       1020 1080      1080 1126      1126 1222      
 15 0           2 1            0 1            16 1           8 1            13 1           1 2            4 3            17 0           14 4           11 3           3 4            19 2           7 2            12 0           9 1            5 4            6 3            10 2           18 3           
 0 54           54 96          96 117         117 145        145 194        194 246        246 317        317 336        336 425        425 470        470 479        479 556        556 634        634 675        675 766        766 841        841 895        1021 1108      1108 1115      1115 1189      
 13 0           0 0            3 0            2 2            5 1            11 1           15 4           14 3           1 4            4 4            19 1           17 2           8 3            16 4           7 3            12 1           9 2            6 2            18 2           10 4           
 0 27           27 61          61 127         127 158        158 201        201 296        296 367        367 406        406 432        432 496        496 541        541 549        549 647        647 684        684 722        766 825        841 884        934 1021       1021 1115      1143 1178      
 1 1            3 1            16 2           4 2            15 3           14 2           0 3            13 4           11 4           7 1            17 3           19 3           8 4            5 3            2 4            10 1           9 4            6 4            12 4           18 4           
 33 85          127 204        204 230        230 264        264 278        278 319        319 374        403 453        479 514        538 562        562 628        634 703        703 720        720 782        857 896        951 1027       1027 1106      1108 1177      1177 1193      1193 1220      
 14 0           11 0           8 0            16 0           5 0            4 1            15 2           3 2            13 2           1 3            19 0           7 0            18 0           0 4            17 4           2 3            6 1            9 3            12 2           10 3           
 0 9            9 19           19 44          44 77          77 156         156 193        193 236        236 315        315 358        358 374        374 455        455 538        538 622        622 717        717 759        759 857        857 934        934 1011       1011 1070      1115 1143      
*
